Class,Family,Species,Troph,FoodI,FoodII,FoodIII,Stage,DietPercent,ItemName,ID
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,0.30000001192092896,Larvacea,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,32.20000076293945,Sagitta sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.32,zoobenthos,cnidarians,n.a./other polyps,juv./adults,0.30000001192092896,Cnidaria,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zoobenthos,benth. crust.,amphipods,juv./adults,1.899999976158142,Parathemisto sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zoobenthos,sponges/tunicates,ascidians,juv./adults,0.699999988079071,Urochordata,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zoobenthos,benth. crust.,benth. copepods,juv./adults,73.69999694824219,Calanus sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,nekton,finfish,bony fish,juv./adults,0.30000001192092896,Osteichthyes,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,detritus,detritus,carcasses,n.a./others,3.9000000953674316,Animal remains,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zooplankton,plank. crust.,euphausiids,juv./adults,0.6000000238418579,Meganyctiphanes norvegica,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zooplankton,fish (early stages),fish eggs/larvae,eggs,0.20000000298023224,Osteichthyes,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zooplankton,plank. crust.,mysids,juv./adults,2.200000047683716,Neomysis americana,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,1.399999976158142,Ostracoda,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.14,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,15.100000381469727,Limacina sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zoobenthos,sponges/tunicates,ascidians,juv./adults,21.5,Urochordata,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zoobenthos,benth. crust.,benth. copepods,juv./adults,67.9000015258789,Calanoida,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,detritus,detritus,carcasses,n.a./others,4,Animal remains,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zoobenthos,mollusks,gastropods,juv./adults,3.700000047683716,Limacina sp.,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,0.30000001192092896,Cirripedia,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zooplankton,plank. crust.,n.a./other plank. crustaceans,juv./adults,0.4000000059604645,Hyperiidae,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,0.10000000149011612,Chaetognatha,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes dubius,3.11,zoobenthos,benth. crust.,ostracods,juv./adults,2.0999999046325684,Ostracoda,"ASV_331,ASV_818,ASV_954,ASV_287,ASV_365"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,plants,other plants,benthic algae/weeds,n.a./others,0.10000000149011612,algae,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,plank. crust.,cladocerans,juv./adults,27.700000762939453,cladocerans,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,plank. crust.,euphausiids,larvae,1.2999999523162842,euphausiids,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,larvae,0.5,veliger,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,plank. crust.,plank. copepods,eggs,2.700000047683716,ova,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,plank. crust.,plank. copepods,larvae,5.300000190734863,nauplii,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Ammodytidae,Ammodytes personatus,3.63,zooplankton,plank. crust.,plank. copepods,recruits/juv.,62.400001525878906,copepodite,"ASV_22,ASV_1336,ASV_6"
Actinopteri,Antennariidae,Antennatus coccineus,NA,NA,NA,NA,NA,NA,NA,"ASV_1236,ASV_1223,ASV_460"
Actinopteri,Apogonidae,Apogon imberbis,3.92,nekton,finfish,bony fish,juv./adults,42,bony fish,"ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82"
Actinopteri,Apogonidae,Apogon imberbis,3.92,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,58,benth. crustaceans,"ASV_17,ASV_379,ASV_516,ASV_7,ASV_70,ASV_14,ASV_188,ASV_228,ASV_486,ASV_7,ASV_82"
Actinopteri,Argentinidae,Glossanodon semifasciatus,NA,NA,NA,NA,NA,NA,NA,ASV_745
Actinopteri,Aulopidae,Hime damasi,NA,NA,NA,NA,NA,NA,NA,"ASV_1076,ASV_1332"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,plank. crust.,euphausiids,juv./adults,7.579999923706055,euphausiids,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,5.269999980926514,Chaetognatha,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,plank. crust.,n.a./other plank. invertebrates,juv./adults,5.489999771118164,Hyperiidae,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,10.220000267028809,Coelenterata,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,juv./adults,13.1899995803833,Oikopleura,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zoobenthos,benth. crust.,ostracods,juv./adults,0.9900000095367432,ostracods,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.16,zooplankton,plank. crust.,plank. copepods,juv./adults,57.25,Calanoida,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.12,zoobenthos,benth. crust.,amphipods,juv./adults,3.2200000286102295,Amphipoda,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.12,zooplankton,plank. crust.,euphausiids,juv./adults,26.700000762939453,Euphausiacea,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.12,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,3.2200000286102295,Chaetognatha,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.12,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,10.970000267028809,Coelenterata,"ASV_1101,ASV_243"
Actinopteri,Bathylagidae,Leuroglossus schmidti,3.12,zooplankton,plank. crust.,plank. copepods,juv./adults,55.900001525878906,Copepoda,"ASV_1101,ASV_243"
Actinopteri,Belonidae,Platybelone argala,NA,NA,NA,NA,NA,NA,NA,"ASV_326,ASV_1103,ASV_326,ASV_385"
Actinopteri,Blenniidae,Cirripectes imitator,NA,NA,NA,NA,NA,NA,NA,"ASV_26,ASV_409,ASV_756,ASV_768,ASV_10,ASV_206"
Actinopteri,Blenniidae,Plagiotremus tapeinosoma,3.84,plants,other plants,benthic algae/weeds,leaves/blades,1,algae,"ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69"
Actinopteri,Blenniidae,Plagiotremus tapeinosoma,3.84,nekton,finfish,bony fish,n.a./others,60,fish,"ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69"
Actinopteri,Blenniidae,Plagiotremus tapeinosoma,3.84,zooplankton,plank. crust.,plank. copepods,juv./adults,30,Cyclopoida,"ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69"
Actinopteri,Blenniidae,Plagiotremus tapeinosoma,3.84,zoobenthos,worms,polychaetes,juv./adults,9,polychaetes,"ASV_1117,ASV_520,ASV_77,ASV_839,ASV_1048,ASV_1181,ASV_69"
Actinopteri,Blenniidae,Scartella cristata,2.02,plants,other plants,benthic algae/weeds,n.a./others,99.19999694824219,Acanthophora,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.02,zoobenthos,mollusks,gastropods,juv./adults,0.800000011920929,Acmaeidae,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,plants,other plants,benthic algae/weeds,n.a./others,35.79999923706055,Algae (filamentous),"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,isopods,n.a./others,1.5,Dynoides castroi,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,isopods,n.a./others,4.800000190734863,Sphaeroma walkeri,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,n.a./other benth. crustaceans,n.a./others,1.5,Amphipoda (fragments),"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,n.a./other benth. crustaceans,n.a./others,3.0999999046325684,Petrolisthes sp,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,n.a./other benth. crustaceans,n.a./others,6.400000095367432,Hyale media,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,benth. crust.,n.a./other benth. crustaceans,n.a./others,29.200000762939453,Decapoda (fragments),"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,other benth. invertebrates,n.a./other benth. invertebrates,n.a./others,1.5,Bryozoa,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,n.a./others,1.5,Littorina ziczac,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,n.a./others,1.5,Modiolus carvalhoi,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,n.a./others,1.5,Odostomia sp.,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,n.a./others,2.5,Acmaea subrugosa,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,n.a./others,3.0999999046325684,Brachidontes sp.,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,mollusks,n.a./other mollusks,recruits/juv.,1.5,Mollusca,"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,worms,polychaetes,n.a./others,1.5,Phragmatopoma (fragments),"ASV_57,ASV_27"
Actinopteri,Blenniidae,Scartella cristata,2.96,zoobenthos,worms,polychaetes,n.a./others,3.0999999046325684,Phragmatopoma lapidosa,"ASV_57,ASV_27"
Actinopteri,Bothidae,Bothus robinsi,NA,NA,NA,NA,NA,NA,NA,"ASV_785,ASV_208,ASV_316,ASV_597,ASV_727,ASV_899"
Actinopteri,Bythitidae,Alionematichthys riukiuensis,NA,NA,NA,NA,NA,NA,NA,ASV_1138
Actinopteri,Bythitidae,Brosmophycis marginata,NA,NA,NA,NA,NA,NA,NA,"ASV_1129,ASV_979,ASV_1029,ASV_1335,ASV_424"
Actinopteri,Bythitidae,Grammonus robustus,NA,NA,NA,NA,NA,NA,NA,"ASV_299,ASV_163"
Actinopteri,Carangidae,Caranx bucculentus,3.75,nekton,finfish,bony fish,juv./adults,22,Teleostei,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,benth. crust.,crabs,juv./adults,33.599998474121094,Brachyura,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,benth. crust.,n.a./other benth. crustaceans,n.a./others,5.800000190734863,benth. crustaceans,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,echinoderms,n.a./other echinoderms,n.a./others,4.900000095367432,echinoderms,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,mollusks,n.a./other mollusks,n.a./others,9.100000381469727,mollusks,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,benth. crust.,shrimps/prawns,juv./adults,19,Penaeidae,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.75,zoobenthos,benth. crust.,stomatopods,juv./adults,5.599999904632568,stomatopods,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,nekton,finfish,bony fish,juv./adults,14.90999984741211,Teleostei,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,benth. crust.,crabs,juv./adults,39.04999923706055,Brachyura,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,worms,n.a./other annelids,juv./adults,0.10000000149011612,Annelids,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,6.690000057220459,other Crustacea,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,mollusks,n.a./other mollusks,juv./adults,12.680000305175781,Mollusks,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,benth. crust.,shrimps/prawns,juv./adults,19.3700008392334,Penaeidae,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,nekton,cephalopods,squids/cuttlefish,juv./adults,3.549999952316284,Cephalopoda,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,3.84,zoobenthos,benth. crust.,stomatopods,juv./adults,3.6500000953674316,Stomatopoda,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,4.04,nekton,finfish,bony fish,juv./adults,48.470001220703125,bony fish,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,4.04,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,45.599998474121094,Malacostraca,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,4.04,zoobenthos,worms,polychaetes,juv./adults,0.20999999344348907,polychaetes,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,4.04,zoobenthos,echinoderms,sea stars/brittle stars,juv./adults,0.30000001192092896,Ophiuroidea,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Caranx bucculentus,4.04,nekton,cephalopods,squids/cuttlefish,juv./adults,5.460000038146973,Cephalopoda,"ASV_138,ASV_317,ASV_192,ASV_215"
Actinopteri,Carangidae,Selar crumenophthalmus,4.1,nekton,finfish,bony fish,juv./adults,51.31999969482422,bony fish,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.1,zooplankton,plank. crust.,mysids,juv./adults,6.949999809265137,mysids,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.1,zoobenthos,benth. crust.,shrimps/prawns,juv./adults,27.809999465942383,shrimps/prawns,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.1,zoobenthos,benth. crust.,stomatopods,juv./adults,13.90999984741211,stomatopods,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,nekton,finfish,bony fish,n.a./others,50,fish scales,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,zooplankton,fish (early stages),fish eggs/larvae,larvae,9.600000381469727,engraulidae,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,zooplankton,plank. crust.,n.a./other plank. crustaceans,larvae,12.5,crab,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,zooplankton,plank. crust.,n.a./other plank. crustaceans,larvae,25,shrimp larvae,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,zooplankton,other plank. Invertebrates,n.a./other plank. invertebrates,larvae,0.800000011920929,gastropod larvae,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.8,zooplankton,plank. crust.,plank. copepods,n.a./others,2.0999999046325684,Candacia,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.62,nekton,finfish,bony fish,juv./adults,1.899999976158142,bony fish,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.62,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,0.699999988079071,benth. crustaceans,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.62,zoobenthos,benth. crust.,shrimps/prawns,juv./adults,97.4000015258789,shrimps/prawns,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.43,nekton,finfish,bony fish,juv./adults,13.600000381469727,Osteichthyes,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.43,detritus,detritus,carcasses,n.a./others,71.69999694824219,Animal remains,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.43,zoobenthos,benth. crust.,lobsters,juv./adults,10.600000381469727,crabs,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.43,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,4.099999904632568,Crustacea,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.12,nekton,finfish,bony fish,juv./adults,74.66999816894531,bony fish,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.12,detritus,detritus,debris,n.a./others,2.740000009536743,debris,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.12,zoobenthos,worms,n.a./other annelids,juv./adults,0.10999999940395355,annelids,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,4.12,zooplankton,plank. crust.,n.a./other plank. crustaceans,juv./adults,22.479999542236328,Crustacea,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,nekton,finfish,bony fish,juv./adults,0.5,snapper,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zoobenthos,benth. crust.,crabs,juv./adults,7.599999904632568,crabs,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,detritus,detritus,debris,n.a./others,10.300000190734863,detritus,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zoobenthos,benth. crust.,lobsters,juv./adults,0.699999988079071,lobsters,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zoobenthos,other benth. invertebrates,n.a./other benth. invertebrates,recruits/juv.,8.899999618530273,invertebrates,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,juv./adults,31.399999618530273,zooplankton,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zooplankton,other plank. invertebrates,n.a./other plank. invertebrates,recruits/juv.,27.5,zooplankton,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,zoobenthos,benth. crust.,shrimps/prawns,juv./adults,0.6000000238418579,shrimps,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,nekton,cephalopods,squids/cuttlefish,juv./adults,11.300000190734863,squids,"ASV_151,ASV_62"
Actinopteri,Carangidae,Selar crumenophthalmus,3.41,others,herps,toads/frogs,n.a./others,1.2000000476837158,toads,"ASV_151,ASV_62"
Actinopteri,Carangidae,Trachinotus baillonii,NA,NA,NA,NA,NA,NA,NA,"ASV_82,ASV_217,ASV_51"
Actinopteri,Carapidae,Carapus kagoshimanus,NA,NA,NA,NA,NA,NA,NA,ASV_578
Actinopteri,Carapidae,Echiodon drummondii,NA,NA,NA,NA,NA,NA,NA,ASV_983
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,plants,other plants,benthic algae/weeds,n.a./others,5.369999885559082,benthic algae/weeds,"ASV_229,ASV_119"
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,zoobenthos,benth. crust.,n.a./other benth. crustaceans,juv./adults,2.109999895095825,crustaceans,"ASV_229,ASV_119"
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,zoobenthos,cnidarians,n.a./other polyps,juv./adults,52.790000915527344,Anthozoa,"ASV_229,ASV_119"
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,zoobenthos,worms,polychaetes,juv./adults,4.210000038146973,terebellid tentacles,"ASV_229,ASV_119"
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,zoobenthos,worms,polychaetes,juv./adults,14.4399995803833,polychaetes,"ASV_229,ASV_119"
Actinopteri,Chaetodontidae,Chaetodon ocellatus,3.7,zoobenthos,worms,polychaetes,juv./adults,21.06999969482422,sabellid tentacles,"ASV_229,ASV_119"
